"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,"Link clicks",Navigation,"Profile visits",Follows,"Sticker taps"
18543714970062689,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,39,"11/23/2025 01:14",https://www.instagram.com/stories/barkerandstonehouse/3772098904494755557,"IG story",,Lifetime,1162,1075,0,0,0,,1105,1,,
18065035232417759,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"11/23/2025 01:13",https://www.instagram.com/stories/barkerandstonehouse/3772098663699746677,"IG story",,Lifetime,1538,1398,0,0,0,8,1409,8,1,
17987878988860316,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"11/21/2025 07:34",https://www.instagram.com/stories/barkerandstonehouse/3770840764113530092,"IG story",,Lifetime,1395,1254,0,0,1,9,1278,5,,
18024424520589946,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"11/19/2025 10:49",https://www.instagram.com/stories/barkerandstonehouse/3769489518689556216,"IG story",,Lifetime,1536,1339,4,0,0,18,1399,6,,
17980622693771905,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,42,"11/18/2025 10:37",https://www.instagram.com/stories/barkerandstonehouse/3768758513242506325,"IG story",,Lifetime,1281,1119,0,1,1,8,1190,6,,
17904838056147360,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"11/17/2025 08:43",https://www.instagram.com/stories/barkerandstonehouse/3767976513883625462,"IG story",,Lifetime,1088,991,1,0,0,,1017,3,,
18172368085370684,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"11/17/2025 07:54",https://www.instagram.com/stories/barkerandstonehouse/3767951953616438622,"IG story",,Lifetime,1469,1294,1,0,0,,1347,8,,
18104280307567806,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,57,"11/13/2025 06:10",https://www.instagram.com/stories/barkerandstonehouse/3765000495560393741,"IG story",,Lifetime,1032,926,3,0,0,,947,10,1,
18094792621876311,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,22,"11/12/2025 07:47",https://www.instagram.com/stories/barkerandstonehouse/3764324339186142491,"IG story",,Lifetime,966,825,0,0,0,5,889,6,,
18095227549894738,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"11/12/2025 02:36",https://www.instagram.com/stories/barkerandstonehouse/3764167800949312398,"IG story",,Lifetime,997,895,0,0,0,,925,4,,
18086636161785868,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,16,"11/12/2025 02:36",https://www.instagram.com/stories/barkerandstonehouse/3764167702668432534,"IG story",,Lifetime,1233,1124,2,1,1,,1115,15,3,
18104600611727157,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,8,"11/10/2025 01:55",https://www.instagram.com/stories/barkerandstonehouse/3762697613041494400,"IG story",,Lifetime,6866,5947,9,2,2,,5202,74,3,
18362831140088976,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,20,"11/04/2025 10:46",https://www.instagram.com/stories/barkerandstonehouse/3758616747776433899,"IG story",,Lifetime,1626,1381,5,0,1,27,1441,13,,
18061251605430527,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"10/31/2025 04:13",https://www.instagram.com/stories/barkerandstonehouse/3755489141652743911,"IG story",,Lifetime,1320,1076,2,2,0,19,1201,7,,2
18113319724560561,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"10/31/2025 04:11",https://www.instagram.com/stories/barkerandstonehouse/3755488137217630483,"IG story",,Lifetime,1348,1159,7,2,0,,1263,11,,4
18096410929697803,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,9,"10/31/2025 04:10",https://www.instagram.com/stories/barkerandstonehouse/3755487810221270867,"IG story",,Lifetime,1521,1373,2,1,0,,1388,7,,
18076590913899788,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,39,"10/25/2025 07:27",https://www.instagram.com/stories/barkerandstonehouse/3751237884381501135,"IG story",,Lifetime,1325,1174,0,0,0,,1215,6,,
17858889102534766,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,15,"10/24/2025 06:09",https://www.instagram.com/stories/barkerandstonehouse/3750474111060310420,"IG story",,Lifetime,1244,1105,3,0,0,,1119,8,,
18102294661565023,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"10/24/2025 03:41",https://www.instagram.com/stories/barkerandstonehouse/3750399668573181135,"IG story",,Lifetime,1605,1453,2,0,0,,1448,8,,
18404931679188383,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"10/18/2025 05:35",https://www.instagram.com/stories/barkerandstonehouse/3746108162509122830,"IG story",,Lifetime,1926,1707,4,1,0,11,1763,13,3,
18079798856010194,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,15,"10/14/2025 01:33",https://www.instagram.com/stories/barkerandstonehouse/3743087615282002218,"IG story",,Lifetime,1302,1166,4,0,0,,1169,13,1,
17877882975310827,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"10/03/2025 04:26",https://www.instagram.com/stories/barkerandstonehouse/3735201859561635281,"IG story",,Lifetime,1530,1349,4,1,0,9,1069,5,1,
18528703219054627,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"10/03/2025 03:54",https://www.instagram.com/stories/barkerandstonehouse/3735185947043321687,"IG story",,Lifetime,1910,1698,5,0,1,,1332,8,1,
18112613005543720,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,22,"10/01/2025 04:42",https://www.instagram.com/stories/barkerandstonehouse/3733760474006429184,"IG story",,Lifetime,1332,1182,3,0,1,,877,5,,
17915661141193879,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Thank you to everyone who entered! 
Congratulations to our winner @thelinnethome_ 🎉",0,"10/01/2025 02:37",https://www.instagram.com/stories/barkerandstonehouse/3733697679143490750,"IG story",,Lifetime,1500,1229,2,0,0,,1198,3,,39
18080705171503949,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,17,"09/29/2025 10:19",https://www.instagram.com/stories/barkerandstonehouse/3732480384513642719,"IG story",,Lifetime,1847,1652,4,1,1,,1238,12,,
18124887712494902,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/27/2025 07:05",https://www.instagram.com/stories/barkerandstonehouse/3730933354515460891,"IG story",,Lifetime,1353,1264,1,0,0,,1270,1,,
18052244681279804,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,15,"09/27/2025 07:04",https://www.instagram.com/stories/barkerandstonehouse/3730932912066718678,"IG story",,Lifetime,2280,2049,2,0,0,8,1737,14,1,
18090706294802666,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/23/2025 01:57",https://www.instagram.com/stories/barkerandstonehouse/3727879350524867496,"IG story",,Lifetime,1949,1682,4,2,0,24,1706,20,3,11
18116193919516942,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,22,"09/22/2025 07:18",https://www.instagram.com/stories/barkerandstonehouse/3727315968935637105,"IG story",,Lifetime,1868,1560,2,0,1,,1192,21,2,
18523915207015708,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,10,"09/20/2025 01:03",https://www.instagram.com/stories/barkerandstonehouse/3725677691577055062,"IG story",,Lifetime,1791,1470,3,0,0,,1218,7,1,
17903089110254662,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/20/2025 01:03",https://www.instagram.com/stories/barkerandstonehouse/3725677504771184089,"IG story",,Lifetime,2087,1711,5,0,0,14,1461,,,
18044248811352661,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/19/2025 10:33",https://www.instagram.com/stories/barkerandstonehouse/3725239988389704383,"IG story",,Lifetime,1680,1444,2,0,0,,1088,5,,
18103297843590754,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,13,"09/19/2025 10:19",https://www.instagram.com/stories/barkerandstonehouse/3725232694612480501,"IG story",,Lifetime,2043,1820,4,0,0,10,1373,4,,
18064976009202278,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/15/2025 10:57",https://www.instagram.com/stories/barkerandstonehouse/3722352950078372749,"IG story",,Lifetime,1138,1001,3,1,1,6,1067,6,,
17968155947954668,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,18,"09/15/2025 10:35",https://www.instagram.com/stories/barkerandstonehouse/3722341717379920675,"IG story",,Lifetime,2457,2110,9,12,2,,1419,6,1,
18077681864050611,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,21,"09/13/2025 07:01",https://www.instagram.com/stories/barkerandstonehouse/3720784483067947487,"IG story",,Lifetime,1277,1107,1,0,0,,1179,5,,
17894841822302837,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/12/2025 11:38",https://www.instagram.com/stories/barkerandstonehouse/3720199295266991376,"IG story",,Lifetime,1055,918,2,0,0,,989,5,,14
17856561984458938,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/12/2025 11:38",https://www.instagram.com/stories/barkerandstonehouse/3720199266989025539,"IG story",,Lifetime,1085,953,2,0,0,,1019,2,,14
18150409891401801,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/12/2025 11:38",https://www.instagram.com/stories/barkerandstonehouse/3720199231245178426,"IG story",,Lifetime,1115,1000,2,0,0,,1038,,,23
18097220845645023,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,15,"09/12/2025 11:38",https://www.instagram.com/stories/barkerandstonehouse/3720199132301495421,"IG story",,Lifetime,1296,1154,4,0,0,,1133,5,,
